text,created_at,location,friends_count,sentiment,gender,tweet_classification,age,emotion,sufferingChronic,group,Topic,severity,Remedies,Trying Home remedies with drugs
project xcabinet staining insomnia rackrunners,2020-07-13 13:00:08+00:00,"North Dakota, USA",192,neutral,male,Individual,19-29,sadness,no,0,4,Mild,Trying Home or Drug remedies,No
"i need sleep 
insomnia insomniac",2020-07-13 12:46:54+00:00,"Clearwater, FL",62,neutral,male,Individual,19-29,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
"ever felt so tired but sleep is nowhere near ventingmachine sadpoet depressed lonelyquotes
thoughts",2020-07-13 12:40:24+00:00,SHINee World,32,negative,male,Individual,>=40,awe,yes,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
cantsleep but need to be up in hours,2020-07-13 12:39:10+00:00,"Gold Coast, Queensland",13,neutral,male,Individual,>=40,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,Yes
survey of italians mostly students related to sleep in covid  later bed amp wakeup time amp increased,2020-07-13 12:17:09+00:00,,698,positive,male,Individual,>=40,amusement,no,0,3,Severe,Trying Therapies including drugs,No
meanwhile italian doctors find that the longterm impact of covid include psychosis insomnia kidneydisease,2020-07-13 11:59:45+00:00,Bristol UK,1499,neutral,male,Individual,>=40,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
i made a huge mistake yesterday i took a minute nap around pm and now its a whole other day and im still wi,2020-07-13 11:54:33+00:00,,140,positive,male,Individual,<=18,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
its am i guess i should get ready for work insomnia,2020-07-13 11:44:24+00:00,"San Bernardino, CA",2051,positive,male,Individual,>=40,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
starting my day off with a migraine i envy people that have never experienced this when i get them i just want to,2020-07-13 11:42:58+00:00,"Orlando, FL",203,negative,female,Individual,19-29,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
"i think i love u oh i love insomniaselcaday
insomnia dreamcatcher",2020-07-13 11:36:51+00:00,,241,positive,female,Individual,<=18,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,Yes
its am ive been up for an hour now these are the times i wonder how ill manage with out weed going to smoke,2020-07-13 11:23:55+00:00,Las Vegas,119,negative,male,Individual,>=40,sadness,no,0,3,Severe,Trying Therapies including drugs,No
new podcast well deserved pause on spreaker anxiety breathwork compassion focus goal_setting health,2020-07-13 11:10:23+00:00,"the beach, Los Angeles",554,positive,male,Individual,>=40,awe,yes,0,4,Mild,Trying Home or Drug remedies,Yes
its am and i want cereal this is why i became an adult to be even more anxious to do simple life tasks joy,2020-07-13 11:02:02+00:00,~Sing Sweet Nightingale~,725,positive,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
insomnia strikes,2020-07-13 10:38:17+00:00,,17,neutral,male,Individual,19-29,sadness,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
up until am getting ready to go out then tried to get a little before getting up at for an appt kept,2020-07-13 10:26:12+00:00,Michigan,1336,positive,female,Individual,19-29,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
"link to our youtube channel in bio  
eduardotarilonte nada yoga meditation insomnia relaxation",2020-07-13 10:15:16+00:00,,11,neutral,male,Individual,>=40,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
some people dont sleep because they have insomnia i cant sleep because i have internet connection,2020-07-13 10:11:27+00:00,"Gurgaon, INDIA",91,neutral,male,Individual,<=18,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
one of these days im gonna finish something dangit but heres a random late night partial color i got impatien,2020-07-13 10:09:12+00:00,Somewhere. Over a rainbow.  3,61,negative,male,Individual,>=40,awe,no,0,3,Severe,Trying Therapies including drugs,Yes
"wide awake and cant sleep 
whoelse cantsleep awake",2020-07-13 09:59:35+00:00,,374,negative,female,Individual,19-29,awe,no,0,4,Mild,Trying Home or Drug remedies,No
its awesome when my insomnia plays into flexibility and increased ability to meet with euros on their schedule,2020-07-13 09:46:20+00:00,Multiple cities,121,positive,male,Individual,<=18,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
will i ever recover will i get better it feels like every new day ill just be suffering than getting better,2020-07-13 09:40:29+00:00,"British Columbia, Canada",47,positive,male,Individual,<=18,awe,no,0,4,Mild,Trying Home or Drug remedies,No
been awake since am again and have evil homer song stuck in my head guess i better turn on the tv insomnia,2020-07-13 09:33:20+00:00,"Harriman, Utah",98,negative,male,Individual,>=40,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
nothing worse than being unable to sleep to when you want to go to sleep insomnia,2020-07-13 09:31:30+00:00,"Scottsdale, AZ",342,negative,male,Individual,>=40,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
my husband just midsleep turned to me and asked so are we just gonna be vacuum cleaners so i respond,2020-07-02 03:58:31+00:00,Texas,6129,negative,male,Individual,30-39,awe,no,0,3,Severe,Trying Therapies including drugs,No
how your blood sugar levels could be sabotaging your sleep via mindbodygreen tired sleep insomnia,2020-07-02 03:31:07+00:00,"East, England",2222,negative,female,Individual,>=40,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
afternoon for me insomnia and the usual hash tags except old hard drive discoveries light bouncing and,2020-07-02 03:19:15+00:00,"Kensington, Liverpool x",1669,negative,male,Individual,>=40,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,No
sleep what is sleep insomnia,2020-07-02 03:15:04+00:00,"Wakefield, England",3625,neutral,male,Individual,>=40,sadness,no,0,0,Moderate,No clarity on remedies - Looking for help,No
who needs sleep anyway insomnia,2020-07-02 03:14:20+00:00,"England, United Kingdom",176,neutral,male,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
if you arent using your crystals are you really living crystalhealing howlite insomnia crystals healingstone,2020-07-02 03:14:04+00:00,,164,positive,female,Individual,19-29,amusement,no,0,3,Severe,Trying Therapies including drugs,No
okay so its am and im still not asleep how many days can i last with hours of sleep a night find out on next,2020-07-02 03:08:10+00:00,"Northern Ireland, United Kingd",52,positive,male,Individual,>=40,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
having one of those my alarm goes off in two hours thoughts insomnia sigh,2020-07-02 03:07:51+00:00,Chesterfield/Sheffield,316,neutral,male,Individual,>=40,sadness,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,Yes
sleep is overrated anyway insomnia wideawake,2020-07-02 02:43:29+00:00,Glasvegas,429,neutral,male,Individual,19-29,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
since more people voted amp i wasnt able to get to show all my oldschool videogames im gonna do older anime,2020-07-02 02:35:30+00:00,Chicago,721,positive,male,Individual,19-29,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
why am i more productive after midnight nightowl insomnia cantsleep tired,2020-07-02 02:15:22+00:00,,9477,positive,female,Individual,19-29,awe,yes,0,4,Mild,Trying Home or Drug remedies,No
blooming insomnia and the usual hash tags except old hard drive discoveries texture scratches marks,2020-07-02 02:14:54+00:00,"Kensington, Liverpool x",1669,negative,male,Individual,>=40,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
i had a migraine which led to a nap at pm so if anyone needs to talk ill be up all night pregnancy insomnia,2020-07-02 02:11:44+00:00,"Cincinnati, OH",1056,negative,female,Individual,19-29,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
"sweet and peaceful sleep knowing that your heavenly father answers your prayers and strengthens your soul 
psalm",2020-07-02 02:00:20+00:00,USA,1205,positive,male,Individual,>=40,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
"sipping dreams out of a
crescent moon
im tired of anxious thoughts shrieking till nights noon wishing these",2020-07-02 01:57:31+00:00,,344,negative,female,Individual,>=40,awe,yes,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
surely its time for a snooze insomnia whatisthetime inthemiddleofthenight,2020-07-02 01:56:02+00:00,"England, United Kingdom",152,positive,male,Individual,30-39,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
"once there was a king who couldnt sleep 
its not uncommon for kings have so many things to worry about 
mo",2020-07-02 01:46:51+00:00,Don't worry about it!,5,positive,male,Individual,<=18,awe,no,0,4,Mild,Trying Home or Drug remedies,No
oh insomnia how i hate you,2020-07-02 01:41:07+00:00,,391,negative,female,Individual,<=18,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
lying awake buggering about with snapchat and tiktok as you do when youve got insomnia,2020-07-02 01:37:18+00:00,The North,727,neutral,female,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
father son collaboration love real life paint scraping share painting this inspiration am insomnia,2020-07-02 01:26:54+00:00,"Kensington, Liverpool x",1669,positive,male,Individual,>=40,awe,yes,0,2,Severe,Not trying any remedies - Worried about next day,No
online mindfulness therapy for overcoming insomnia and sleep anxiety visit,2020-07-02 01:10:01+00:00,"Boulder CO, USA",28743,neutral,male,Individual,>=40,awe,yes,0,3,Severe,Trying Therapies including drugs,No
july surely came in swinging i think i slept a total of hours which is highly unusual for me normally im the o,2020-07-02 00:55:51+00:00,"Worcester, MA",91,positive,female,Individual,30-39,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
hello insomnia its been a while,2020-07-02 00:55:19+00:00,Cheshire,203,neutral,male,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
another night of sleep im so tired but i just cant sleep insomnia nosleep lockdownhaschangedme icantgenosleep help,2020-07-02 00:52:55+00:00,kent,1330,negative,male,Individual,>=40,amusement,yes,0,0,Moderate,No clarity on remedies - Looking for help,No
good job ive got another bout of insomnia fave track by faithless it means i can squeeze in fabulous,2020-07-02 00:52:36+00:00,"Coventry, Remainia, The EU 🌍",11206,positive,male,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
this is to promote a sense of safety during a time of stress worry or panic i suggest working up to a count o,2020-07-02 00:46:00+00:00,Washington DC,2254,neutral,female,Individual,19-29,awe,yes,0,4,Mild,Trying Home or Drug remedies,No
wide awake again insomnia who needs sleep anyway not me apparently,2020-07-02 00:45:41+00:00,South cost UK,568,negative,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
sleep offers respite and this guided meditation will help you fall asleep and lucid dream feel empowered as you co,2020-07-02 00:39:14+00:00,"New York, NY",84,positive,male,Individual,19-29,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
blooming insomnia and the usual hash tags love rothkoeveryehere x,2020-07-02 00:27:22+00:00,"Kensington, Liverpool x",1669,positive,male,Individual,>=40,indifference,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
drfranklipman so truebut if thinkin of usin itplz tlk medprofs stesp if uv got health conditionsas its mos,2020-07-02 00:26:31+00:00,"Tx, USA",2030,neutral,male,Individual,19-29,indifference,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
mind like a washing machine insomnia,2020-07-02 00:22:09+00:00,United Kingdom,61,neutral,male,Individual,>=40,amusement,no,0,3,Severe,Trying Therapies including drugs,Yes
new studies from john hopkins universty check it out  newtherapies cbdoil recovery,2020-07-02 00:15:12+00:00,"Centennial, CO",237,positive,male,Individual,19-29,awe,no,0,4,Mild,Trying Home or Drug remedies,No
intuitivecutie candyace tattooedpapi i_dont_tweet realydb gavinnewsom earthing is,2020-07-02 00:12:45+00:00,,0,neutral,male,Individual,>=40,indifference,no,0,0,Moderate,No clarity on remedies - Looking for help,No
am and i feel alive anyone else wednesday insomnia happy nightowl,2020-07-02 00:10:33+00:00,"London, England",69,positive,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
a late night colour colourful z joy magnetic feels insomnia abstract art piece waiting on an apple,2020-07-02 00:07:18+00:00,"Kensington, Liverpool x",1669,positive,male,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
"this is a song about depression and insomnia 
guitar singersongwriter",2020-07-01 23:33:17+00:00,New Jersey,1761,neutral,male,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
youranonunit one can be so tired or even exhausted and still not find any sleep insomnia,2020-07-01 23:12:48+00:00,Interwebs ,510,negative,male,Individual,>=40,awe,yes,0,4,Mild,Trying Home or Drug remedies,No
slow your heart rate and ease your mind before bed with these yoga poses yoga postures before bed have been pro,2020-07-01 23:03:27+00:00,"Erie, PA",779,negative,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
leo__texas insomnia queen i would kill to nap sleep and dream ahh maybe one day,2020-07-01 23:03:12+00:00,"Kansas City, KS",539,neutral,male,Individual,<=18,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
if you struggle to sleep why not try writing some haiku about the night you find yourself having learn how to,2020-07-01 22:51:46+00:00,Swansea,2005,neutral,male,Individual,19-29,awe,yes,0,0,Moderate,No clarity on remedies - Looking for help,No
thingifindsexy everything is funnier in the middle of the night insomnia sleepless whileyouweresleeping teamfollowback followme,2020-07-01 22:37:31+00:00,Antarctica,59,neutral,male,Individual,<=18,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
betruelymakayla i have the insomnia issue to but if i try to read or watch tv i get nauseous so i just toss,2020-07-01 22:32:11+00:00,Somewhere over the rainbow.,503,neutral,male,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
haha so true have to be up in four hours insomnia,2020-07-21 15:40:46+00:00,"Sydney, Australia",3393,positive,male,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
getting a good nights sleep was the most difficult thing for me for so many years i even went to a sleep doctor,2020-07-21 15:10:00+00:00,"New York, New York",243,positive,male,Individual,19-29,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
keep going insomnia we could maybe sneak rd overall which is win in itself been from a small fandom fightin,2020-07-21 14:48:31+00:00,"England, United Kingdom",381,positive,male,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
hot news flash menopause sleepless nights make womens bodies age faster menopause,2020-07-21 14:40:04+00:00,Miami Beach,157,positive,male,Individual,30-39,amusement,yes,0,2,Severe,Not trying any remedies - Worried about next day,No
researchers at woolcockmedical are using machine learning with oracle autonomous data warehouse to understan,2020-07-21 14:31:19+00:00,"Chicago, IL",80,positive,male,Individual,19-29,awe,no,0,3,Severe,Trying Therapies including drugs,Yes
you kno youve got good indica when your bedtime joint is put out half way through puffpuff indica insomnia not last night,2020-07-21 14:12:27+00:00,Canada,738,positive,female,Individual,19-29,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
i miss those privileges i had when i was pregnant these days its like ranting insomnia,2020-07-12 02:29:11+00:00,Nigeria,498,positive,female,Individual,>=40,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
"my husband to me when i cant sleep just release yourself from consciousness
he sleeps like a rock sleep cantsleep",2020-07-12 02:12:04+00:00,,107,neutral,female,Individual,19-29,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
when youre dozing then thinking you should be going up to bed gets in bed no not happening wide awake as usua,2020-07-12 02:02:34+00:00,3rd rock from the sun,185,negative,male,Individual,<=18,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
i love that time of night where i am heavyeyed and crawling into bed then my body does that thing where it keeps,2020-07-12 02:02:19+00:00,"Wales, United Kingdom",1745,positive,male,Individual,30-39,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
sweet and peaceful sleep tonight i will both lay me down in peace and sleep the lord makes me dwell in safety,2020-07-12 02:00:29+00:00,USA,1200,positive,male,Individual,>=40,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
i cleaned and polished floors this morninga little too well now i cant come downstairs for my insomnia tea wi,2020-07-12 01:54:04+00:00,"Tipperary, EIRE",2649,negative,male,Individual,19-29,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
hereby vowing to never drink dark fruits again cantsleep,2020-07-12 01:52:03+00:00,,191,negative,male,Individual,19-29,awe,no,0,3,Severe,Trying Therapies including drugs,No
sassy saturday lupus autoimmune chronicillness invisibleillness sjogrens fibro endo reynauds,2020-07-12 01:48:06+00:00,"Phoenix, AZ",996,neutral,female,Individual,<=18,indifference,yes,0,2,Severe,Not trying any remedies - Worried about next day,No
online mindfulness therapy for overcoming insomnia and sleep anxiety visit,2020-07-12 01:05:00+00:00,"Boulder CO, USA",28699,neutral,male,Individual,>=40,awe,yes,0,3,Severe,Trying Therapies including drugs,No
cant get to sleep so of course i have to tweet about it cantsleep,2020-07-12 00:51:31+00:00,belfast,321,neutral,female,Individual,30-39,amusement,no,0,3,Severe,Trying Therapies including drugs,Yes
i wonder which channel would win in a fist fight between cnn and foxnews anchors insomnia,2020-07-12 00:40:34+00:00,C-137,1019,positive,male,Individual,19-29,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,No
why cant i sleep survivor louisisfreefromsycoparty insomnia,2020-07-12 00:30:12+00:00,London,229,neutral,male,Individual,19-29,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
am laid awake in bed and all i can think about is ben amp jerrys cookie dough icecream fml benandjerrys,2020-07-12 00:29:14+00:00,"Leeds, UK ",326,neutral,male,Individual,30-39,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
dear sleep where ya at bro sleeplessnight cantsleep insomnia,2020-07-12 00:27:28+00:00,,27,neutral,male,Individual,<=18,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
saw this at am today better late than never saturday insomnia photoop,2020-07-12 00:23:21+00:00,Trinidad and Tobago,88,positive,male,Individual,>=40,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,Yes
listen to so youve seen my limit by brigid mae power np on soundcloud insomnia,2020-07-11 23:57:40+00:00,lets just say europe,170,neutral,male,Individual,<=18,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
insomnia overthinking is a disease,2020-07-11 23:56:36+00:00,"Dammam, Saudi Arabia",300,neutral,male,Individual,19-29,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
neurofeedback for adhd depression sleepdisorders ptsd anxiety angermanagement pms trauma migraines,2020-07-11 23:55:23+00:00,Albany & Marin CA 510 526-4370,4564,neutral,male,Individual,19-29,negative-fear,yes,0,3,Severe,Trying Therapies including drugs,No
insomnia its no fun its a ball ache being up with the bogey men its a scary time to be awake,2020-07-11 23:54:13+00:00,"England, United Kingdom",1286,negative,male,Individual,>=40,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
"troubles sleeping or falling asleep try hypnosis
hypnosis sleep insomnia relaxation stress anxiety",2020-07-11 23:46:19+00:00,"Houston, TX",149,neutral,female,Individual,19-29,amusement,yes,0,4,Mild,Trying Home or Drug remedies,No
who here has trouble sleeping or has a hard time getting up in the am sleep insomnia,2020-07-11 23:41:17+00:00,,18,negative,male,Individual,>=40,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,No
foxysparkles and whenever you want insomnia,2020-07-11 23:38:41+00:00,San Francisco,2567,neutral,male,Individual,>=40,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
and so it is sassy saturday lupus autoimmune chronicillness invisibleillness sjogrens fibro endo,2020-07-11 23:24:59+00:00,"Phoenix, AZ",996,neutral,female,Individual,<=18,indifference,yes,0,2,Severe,Not trying any remedies - Worried about next day,No
just need a break cantsleep insomnia,2020-07-11 23:15:14+00:00,"Torbay, England",432,neutral,female,Individual,19-29,sadness,no,0,0,Moderate,No clarity on remedies - Looking for help,Yes
how to meet god in the night hours insomnia christianmeditation prayer read more here v,2020-07-11 23:15:01+00:00,"Missouri, USA",6744,positive,female,Individual,>=40,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
"all the insomniacs at their own corners of sg prolly reeling since ge s am stunt
thanks for reseting me back to",2020-07-11 22:58:35+00:00,,94,positive,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
"vic_resist enough_is_enuf_ done and done goodnight vic weird huh
insomnia",2020-07-11 22:53:26+00:00,Dupli-City,22303,negative,male,Individual,>=40,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,No
night time sounds camping via youtube whitenoise sleep relaxation insomnia check it en,2020-07-11 22:51:26+00:00,,3,neutral,female,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
have you tried cbdoil for painrelief or insomnia my review of frida botanicals cbd oil products,2020-07-11 22:35:01+00:00,Alabama,8902,neutral,male,Individual,<=18,indifference,yes,0,0,Moderate,No clarity on remedies - Looking for help,Yes
jackiebeat i sometimes sleep in till am insomnia,2020-07-11 22:23:11+00:00,,12,neutral,female,Individual,<=18,amusement,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
and at the sun has moved behind the clouds for a bit but still no sun tanning though iphone,2020-07-11 22:21:55+00:00,"Bergen, Norway",861,negative,male,Individual,>=40,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,No
strongpacksaturdayzrt bigboi x sleepybrownatl cantsleep on deck nowthebigsleepover dungeonfamily,2020-07-11 22:19:11+00:00,"Stankonia , GA",3948,neutral,male,Individual,>=40,amusement,no,0,3,Severe,Trying Therapies including drugs,Yes
sassy saturday lupus autoimmune chronicillness invisibleillness sjogrens fibro endo reynauds,2020-07-11 22:15:48+00:00,"Phoenix, AZ",996,neutral,female,Individual,<=18,indifference,yes,0,2,Severe,Not trying any remedies - Worried about next day,No
you ever wake up crying how is that even possible todays that day cantsleep worstyear,2020-07-11 22:14:14+00:00,Middle Earth,92,negative,male,Individual,<=18,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,Yes
okay so just discovered riverdale loving it riverdale netflix bingewatching weekendvibes cantsleep,2020-07-11 22:07:34+00:00,"Brisbane, Queensland",113,positive,female,Individual,19-29,indifference,no,0,3,Severe,Trying Therapies including drugs,Yes
do you suffer from insomnia or sleep problems and find it hard to get to sleep listen to my latest hypnosis to dr,2020-07-11 21:40:31+00:00,"London, England",25,positive,female,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
"insomnia tossing and turning
reading tv early cleaning
messing with the ac thoughts running
warm milk mel",2020-07-11 21:33:42+00:00,,344,positive,female,Individual,>=40,amusement,no,0,3,Severe,Trying Therapies including drugs,Yes
its and my friend insomnia is calling whatitsgonnabe now some work on that neverending chapter o,2020-07-11 21:26:09+00:00,pretoria,238,neutral,male,Individual,>=40,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
"bedtime do you have an eveningbedtimewind down routine 
a friend suggested this to me as i have had major sle",2020-07-11 21:14:52+00:00,"Scotland, United Kingdom",186,negative,female,Individual,19-29,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,No
avaniidicaprio ilove u also i cantsleep so im sorry im already reading these,2020-07-11 20:40:22+00:00, rawr♡̷̷ˎˊ˗,124,negative,male,Individual,<=18,annoyance,no,0,3,Severe,Trying Therapies including drugs,Yes
if u ever make a list of the best beats that ever came out of atl make sure you put that cantsleep by bigboi amp,2020-07-11 20:34:36+00:00,WorldWide♪ 1 ❤ ✌ & Soul  ,1939,positive,male,Individual,<=18,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,Yes
oomf help i reclaimed fag in the atlanta map food court n sum bigass dude in a pup hood amp lvl backpack regalia c,2020-07-11 20:33:15+00:00,7-Eleven,1747,neutral,male,Individual,>=40,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,Yes
cantsleep,2020-07-11 20:21:48+00:00,Santiago Bernabeu Stadium,504,neutral,female,Individual,<=18,happy,no,0,0,Moderate,No clarity on remedies - Looking for help,Yes
sassy saturday lupus autoimmune chronicillness invisibleillness sjogrens fibro endo reynauds,2020-07-11 20:16:29+00:00,"Phoenix, AZ",996,neutral,female,Individual,<=18,indifference,yes,0,2,Severe,Not trying any remedies - Worried about next day,No
do you struggle to switch your mind off when its time to go to sleep my asmr rain sounds video help you fall asl,2020-07-11 19:35:10+00:00,UK,53,neutral,female,Individual,<=18,awe,yes,0,0,Moderate,No clarity on remedies - Looking for help,No
"phlagging again
the combination of insomnia amp covid__ is an utter bloody bitch",2020-07-11 19:25:24+00:00,Tunbridge Wells & Київ,1007,negative,male,Individual,19-29,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,No
"poems adaptation wattpad masks insomnia
_ferngully writers poems",2020-07-11 19:24:34+00:00,,14,neutral,male,Individual,30-39,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,Yes
did you know that eating wildcaught salmon can help fight insomnia try this minute recipe with zoodles,2020-07-11 19:17:02+00:00,Somewhere in Colorado ,1599,neutral,male,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
busted common myths about sleeplessness you need to unlearn insomnia sleeplessness sleep,2020-07-11 18:52:12+00:00,,4269,negative,female,Individual,19-29,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
crunch lupus autoimmune chronicillness invisibleillness sjogrens fibro endo reynauds migraines,2020-07-11 18:49:50+00:00,"Phoenix, AZ",996,neutral,female,Individual,<=18,negative-fear,yes,0,2,Severe,Not trying any remedies - Worried about next day,No
"i cant find no peace
but when i close my eyes i feel it all again insomnia icarusfalls",2020-07-11 18:13:29+00:00,,63,neutral,male,Individual,>=40,awe,no,0,1,Normal,Not much bothered - Just express Insomniac Feelings,No
currently am here in perth western australia dont think i can handle going to sleep now knowing this is what i,2020-07-11 18:00:36+00:00,Western Australia,72,neutral,male,Individual,19-29,awe,no,0,2,Severe,Not trying any remedies - Worried about next day,No
cant sleep so i put on optus sport and to my surprise chelsea are trailing against sheffield united shuche epl cantsleep,2020-07-11 18:00:35+00:00,"Adelaide, Australia",3829,neutral,male,Individual,30-39,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
attract your twin flame soulmate while you sleep music hz nature via youtube,2020-07-11 17:51:49+00:00,"Toronto, Ontario",1100,neutral,male,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
hr attract your erotic twin flame while you sleep music hz via youtube,2020-07-11 17:51:32+00:00,"Toronto, Ontario",1100,positive,male,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
hr attract true love while you sleep subliminal programming music via youtube,2020-07-11 17:51:16+00:00,"Toronto, Ontario",1100,positive,male,Individual,>=40,amusement,no,0,4,Mild,Trying Home or Drug remedies,No
hr awaken your psychic potential while you sleep music via youtube motivation,2020-07-11 17:51:00+00:00,"Toronto, Ontario",1100,neutral,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
awaken your psychic abilities while you sleep music hr via youtube motivation,2020-07-11 17:50:43+00:00,"Toronto, Ontario",1100,neutral,male,Individual,>=40,awe,no,0,4,Mild,Trying Home or Drug remedies,No
i have earlywaking insomnia and sometimes after a string of bad nights ill experience a night of profoundly,2020-07-11 17:41:18+00:00,"Washington, DC",341,negative,male,Individual,30-39,awe,no,0,3,Severe,Trying Therapies including drugs,No
one in ten of us suffer from the sleep disorder insomnia but are you aware of the causes and treatments availabl,2020-07-11 17:36:02+00:00,"East, England",2222,positive,female,Individual,>=40,awe,yes,0,3,Severe,Trying Therapies including drugs,No
im going to pretend my insomnia is a figment of my imagination,2020-06-29 05:49:41+00:00,"West Hartford, CT",996,neutral,male,Individual,<=18,awe,no,0,0,Moderate,No clarity on remedies - Looking for help,Yes
cant sleep insomnia,2020-06-29 05:35:59+00:00,,21,neutral,male,Individual,>=40,amusement,no,0,0,Moderate,No clarity on remedies - Looking for help,No
"some disco dancing
might just wear my body out
and force it to sleep insomnia haiku",2020-06-29 05:34:33+00:00,Second Life and San Antonio TX,16119,neutral,male,Individual,19-29,amusement,no,0,2,Severe,Not trying any remedies - Worried about next day,No
